name,years
UVa,925356
UVa,925356
Virginia Tech,822063
Virginia Tech,822063
VCU,620376
VCU,620376
Old Dominion,554997
Old Dominion,554997
George Mason,548189
George Mason,548189
Washington and Lee,355699
Washington and Lee,355699
James Madison,320102
James Madison,320102
Radford,185545
Radford,185545
Richmond,298098
Richmond,298098
VCCS Reynolds,46629
VCCS Reynolds,46629
VCCS Mountain Empire,33518
VCCS Mountain Empire,33518
VCCS Germanna,19814
VCCS Germanna,19814
